"rank","name","symbol","price_usd","market_cap_usd","volume24h_usd"
49,"Cosmos","ATOM",3.183714181139088800000000,1512589547.95609597209358400000000000000000,266977373.29439893
50,"Tether Gold","XAUt",3955.338308815541000000000000,1501990841.51527985964965970000000000000000,340087050.45425045
51,"VeChain","VET",0.017281486004567335000000,1485949285.70247151004415329500000000000000,34352273.47110838
52,"OFFICIAL TRUMP","TRUMP",7.281158461894644000000000,1456226173.47726168145659008218800000000000,2398713172.47392750
53,"Jupiter","JUP",0.437750466948599900000000,1385575073.81515099901817742057997000000000,54164896.31128082
54,"Sky","SKY",0.059151814314099674000000,1383117517.64722999294372430698019138000000,14210864.07689494
55,"Pudgy Penguins","PENGU",0.021720013897215480000000,1365328676.66013842143536181920000000000000,235739261.78892809
56,"Render","RENDER",2.547488452513340600000000,1321088321.32904197240915132260549000000000,48646505.58760007
57,"PAX Gold","PAXG",3957.896793719551600000000000,1314600668.95259887117118680000000000000000,481942118.00601411
58,"Flare","FLR",0.017088993902487234000000,1305909820.28586053781571238500626600000000,9860700.54989605
59,"Sei","SEI",0.202417236307025800000000,1264882818.69864367794931040000000000000000,77071162.17527942
60,"Bonk","BONK",0.000014939899804256016000,1224393473.59623868175721979498950000000000,170628055.43757102
61,"GateToken","GT",15.086284958611138000000000,1211028772.86818379809348485549132000000000,175213017.29071555
62,"Filecoin","FIL",1.626127947296500500000000,1139414139.53367834896128350000000000000000,290199356.87280524
63,"XDC Network","XDC",0.062253417036776670000000,1105218739.99657506105215732304973080000000,37099534.85587457
64,"Immutable","IMX",0.538927378539390400000000,1058698751.22509441195947511029416000000000,33395236.53442809
65,"SPX6900","SPX",1.074904049467229000000000,1000728242.54225166391031603000000000000000,29644466.58794410
66,"Quant","QNT",82.152269867753450000000000,991802830.21868205044610000000000000000000,19214245.47626599
67,"Virtuals Protocol","VIRTUAL",1.476018477723813400000000,968201504.30479314168928494604081400000000,670586407.27622139
68,"PancakeSwap","CAKE",2.697933382998735800000000,919960327.46594185635851972782137000000000,106848826.34710293
69,"Celestia","TIA",1.046536979932805000000000,868608366.33222458013036185652500000000000,67586106.57190675
70,"Optimism","OP",0.456358709469989800000000,865516651.53684804426674860000000000000000,103821061.53590137
71,"Injective","INJ",8.644617270163340000000000,864210474.75966978328986940000000000000000,63906282.21997198
72,"Aerodrome Finance","AERO",0.941970834904164800000000,851283684.53351303444080780506206400000000,59379512.47469825
73,"Lido DAO","LDO",0.945250041394402300000000,846725498.39282764472837137062657800000000,89835494.94772226
74,"Stacks","STX",0.458406118891052370000000,828591407.40942023874179923489770000000000,24483521.24683117
75,"DoubleZero","2Z",0.235338891538792730000000,816959546.51836701179477500000000000000000,26289754.51184351
76,"Curve DAO Token","CRV",0.556966914087345800000000,783037833.07249668375656697051845200000000,330437820.77765208
77,"Nexo","NEXO",1.142821397860042000000000,738429291.60419168341730075035992000000000,10443992.33206154
78,"Morpho","MORPHO",1.992510914228566000000000,707746011.79636565004879910044736000000000,39730392.66678526
79,"FLOKI","FLOKI",0.000072585215064303870000,692493224.11566686387259115726458072120000,221471706.88694021
80,"The Graph","GRT",0.064964362792080140000000,686047008.85324543958718748367308000000000,26377654.74577622
81,"Kaia","KAIA",0.111375097921176710000000,685423904.77405980119940123379905000000000,21571246.20339349
82,"Pyth Network","PYTH",0.116119814617906310000000,667686965.53354263442755363617963000000000,30201980.23429196
83,"Plasma","XPL",0.368511583271929340000000,663320849.88947281200000000000000000000000,227114353.95115730
84,"Tezos","XTZ",0.610332286333974200000000,649027972.12938141448448127196440000000000,17221077.30202565
85,"Humanity Protocol","H",0.296547723914849700000000,645537307.92883370140523520000000000000000,124125348.81683241
86,"Artificial Superintelligence Alliance","FET",0.269672631116906100000000,636660937.51884665539208841172838400000000,85478866.61712921
87,"IOTA","IOTA",0.149455981672284080000000,613379670.98037479912554376000000000000000,218862157.04630280
88,"Dash","DASH",48.479693231269170000000000,604292249.29896404177886525116700000000000,135606290.44203827
89,"Conflux","CFX",0.116420250462219320000000,599441124.69818708200912112760000000000000,35306054.42631006
90,"Ethereum Name Service","ENS",15.957573504411060000000000,597515091.93520747879392529673760000000000,52204078.33897456
91,"DeXe","DEXE",6.766745482928085000000000,566604300.62111857703854652791080000000000,8377473.85959607
92,"ether.fi","ETHFI",1.003291327024952800000000,565967674.78266447598575280000000000000000,71884029.52125864
93,"AB","AB",0.006696908834653052000000,563203525.50052165403319011540000000000000,17799990.51388877
94,"Pendle","PENDLE",3.326233172692956000000000,562522633.46093860653257254696920000000000,52931083.97939345
95,"The Sandbox","SAND",0.215042470650952720000000,561968164.42113577843264845485030880000000,39326676.66246697
96,"dogwifhat","WIF",0.555330669405954100000000,554686422.15817744501184851027100000000000,141385819.83316982
97,"MYX Finance","MYX",2.670028327103844700000000,550307319.64874010579249939000000000000000,37000367.30288152
98,"Trust Wallet Token","TWT",1.279772307063267000000000,550123583.58564935145160782000000000000000,24724080.83220005
99,"Theta Network","THETA",0.541081340571843000000000,541081340.57184300000000000000000000000000,21115955.34679570
100,"Starknet","STRK",0.123174178164971250000000,531936970.23860818066195193208375000000000,31287481.83251380
